Step;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r3 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r0 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r1 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r2 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r4 - train/loss;DA-SAGE_mean;DA-SAGE_std
251;0.02083732;0.02432266;0.02178504;0.02247267;0.01909938;0.021703414;0.001935845
252;0.02008348;0.02448676;0.02437397;0.02283938;0.02088946;0.02253461;0.002000099
253;0.01868104;0.02378028;0.02594437;0.02092727;0.02137393;0.022141378;0.002792209
254;0.01801071;0.02441225;0.02392846;0.02286376;0.02064418;0.021971872;0.002647297
255;0.01811712;0.02095154;0.02363976;0.02158802;0.02086118;0.021031524;0.001977482
256;0.01937419;0.02149738;0.02207821;0.02020789;0.0180627;0.020244074;0.001616418
257;0.02134616;0.02265475;0.02162683;0.02036245;0.01840063;0.020878164;0.001607787
258;0.01944387;0.02111274;0.02121964;0.02038957;0.02325814;0.021084792;0.001406979
259;0.02082327;0.02237607;0.0232037;0.02043623;0.0216495;0.021697754;0.001127661
260;0.0199571;0.02074174;0.02152911;0.02149091;0.02003197;0.020750166;0.000758335
261;0.01947402;0.01895018;0.01821487;0.0198348;0.02107752;0.019510278;0.001067083
262;0.01714481;0.01731425;0.01902028;0.01829616;0.02129276;0.018613652;0.001680008
263;0.01603781;0.01835325;0.01974297;0.02073324;0.02362912;0.019699278;0.002816593
264;0.0173723;0.01681398;0.01932486;0.01743995;0.02145293;0.018480804;0.001912879
265;0.01575771;0.01656401;0.02042797;0.01863973;0.02122134;0.018522152;0.002366857
266;0.01682469;0.01540673;0.0192859;0.01792261;0.02011239;0.017910464;0.001883351
267;0.01666483;0.01728261;0.01700234;0.01829323;0.01821771;0.017492144;0.000730829
268;0.01624413;0.01843893;0.01743207;0.01689686;0.01849589;0.017501576;0.00097711
269;0.01536843;0.01925861;0.01854469;0.01651238;0.01780034;0.01749689;0.001564707
270;0.0152862;0.0190783;0.01818581;0.01781716;0.01795112;0.017663718;0.001417071
271;0.01821865;0.02508651;0.01810703;0.0187861;0.01756993;0.019553644;0.003122969
272;0.01645325;0.02095406;0.0184878;0.02148377;0.01839694;0.019155164;0.002060282
273;0.01565569;0.01930312;0.01697358;0.01873582;0.01922779;0.0179792;0.001604228
274;0.01508752;0.01814815;0.01712513;0.01660854;0.01735847;0.016865562;0.001138295
275;0.01372787;0.01623415;0.01923891;0.01682855;0.01555783;0.016317462;0.00200537
276;0.01532107;0.01554752;0.01886617;0.01746412;0.01783444;0.017006664;0.001526644
277;0.01642102;0.01621463;0.01622601;0.0152118;0.0163749;0.016089672;0.000499001
278;0.01697246;0.01476541;0.01632841;0.01488405;0.01525025;0.015640116;0.000966648
279;0.01535675;0.01810135;0.01585229;0.0149775;0.01536615;0.015930808;0.001252457
280;0.01661577;0.01851487;0.01676581;0.01569514;0.01516862;0.016552042;0.001279706
281;0.01538479;0.01614748;0.01595445;0.01628302;0.01491968;0.015737884;0.000571397
282;0.01546893;0.01745196;0.016125;0.01477113;0.01478548;0.0157205;0.001118082
283;0.01367921;0.01600379;0.01688153;0.01433696;0.01577728;0.015335754;0.001301189
284;0.01585383;0.01463604;0.01686149;0.01500623;0.01488744;0.015449006;0.000912594
285;0.01341365;0.01616319;0.01731855;0.01530947;0.01738965;0.015918902;0.001645409
286;0.01329299;0.01493758;0.01629627;0.01638525;0.01725172;0.015632762;0.001548008
287;0.01405557;0.0146426;0.01604462;0.01611816;0.01471896;0.015115982;0.000918276
288;0.01320163;0.01394927;0.01612482;0.01579676;0.01331001;0.014476498;0.001389605
