Step;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r0 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r2 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r4 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r3 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r1 - train/loss;GCN_mean;GCN_std
201;0.09188194;0.10909175;0.10590414;0.11935693;0.11805743;0.108858438;0.011088548
202;0.09152732;0.10806724;0.10335689;0.11960976;0.11825075;0.108162392;0.011539549
203;0.09263808;0.10780822;0.10311213;0.11735078;0.11813201;0.107808244;0.010604569
204;0.09220515;0.10562146;0.1040068;0.11612308;0.11878402;0.107348102;0.010621147
205;0.09406048;0.1054448;0.10470393;0.11762594;0.11652661;0.107672352;0.00970217
206;0.09106764;0.10673792;0.1031798;0.11539658;0.11483702;0.106243792;0.009969515
207;0.09061546;0.10405624;0.10263825;0.11612837;0.11666723;0.10602111;0.010818215
208;0.09161102;0.10333029;0.10273137;0.11520494;0.11544711;0.105664946;0.009978371
209;0.08894856;0.10399691;0.10037624;0.11554338;0.11457852;0.104688722;0.010982492
210;0.0880194;0.10377971;0.09978624;0.11372646;0.11269369;0.1036011;0.010518704
211;0.08874869;0.10300045;0.09898876;0.11201822;0.11392429;0.103336082;0.010238329
212;0.08919045;0.10119124;0.0999664;0.11152519;0.11164064;0.102702784;0.009355157
213;0.08557071;0.099117;0.10073627;0.11397203;0.11133059;0.10214532;0.011292853
214;0.08454919;0.1007334;0.09824269;0.11428954;0.11130421;0.101823806;0.011807819
215;0.08411953;0.09953234;0.09824012;0.112677;0.11088725;0.101091248;0.011497713
216;0.08603448;0.09917878;0.09784282;0.11065036;0.11146578;0.101034444;0.010486986
217;0.08588536;0.09817133;0.09709002;0.11019181;0.10931297;0.100130298;0.010019414
218;0.08386313;0.09965025;0.09734802;0.11077077;0.1099592;0.100318274;0.010980011
